legacy_id,sources,in_main_source,in_clean_bundle,coverage_status
ca528e1d,Berta 2.0 - Berta 2.0 (3).csv|CRM|Contacts sup|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
ca79be2b,CRM|Galerie|Horaires|Prestataires|Tarifs,false,false,missing_from_main_source
ca865c08,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
cb9b8ef9,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
cbf4f863,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
cc0315bb,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires,true,true,in_clean_bundle
cc7deed2,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
cc970d55,CRM|Galerie|Horaires|Prestataires|Tarifs,false,false,missing_from_main_source
ccd1add0,Berta 2.0 - Berta 2.0 (3).csv|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
cdbfafea,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
ceb8cd51,CRM|Galerie|Horaires|Prestataires|Tarifs,false,false,missing_from_main_source
ceb8cd52,Galerie|Horaires|Prestataires|Tarifs,false,false,missing_from_main_source
cf8b073c,Berta 2.0 - Berta 2.0 (3).csv|CRM|Contacts sup|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
d029b989,Prestataires,false,false,missing_from_main_source
d05d63f5,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,false,not_mapped_or_filtered
d09b00bc,Berta 2.0 - Berta 2.0 (3).csv|CRM|Contacts sup|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
d184f7a2,Berta 2.0 - Berta 2.0 (3).csv|CRM|Contacts sup|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
d20857f9,Berta 2.0 - Berta 2.0 (3).csv|CRM|Contacts sup|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
d20caf12,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Prestataires|Tarifs,true,true,in_clean_bundle
d42800d8,Berta 2.0 - Berta 2.0 (3).csv|Contacts sup|Galerie|Horaires|Prestataires|Tarifs,true,false,not_mapped_or_filtered
d50abcd6,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
d5c7c61d,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
d60bebd7,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
d730c38c,CRM|Galerie|Horaires|Prestataires|Tarifs,false,false,missing_from_main_source
d7d60ec0,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
d7e43f3b,CRM|Galerie|Horaires|Prestataires|Tarifs,false,false,missing_from_main_source
d89874c1,Berta 2.0 - Berta 2.0 (3).csv|CRM|Contacts sup|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
d8d19440,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
d958f421,Berta 2.0 - Berta 2.0 (3).csv|CRM|Contacts sup|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
d9f1c7dd,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
d9f1c8dd,Berta 2.0 - Berta 2.0 (3).csv|Galerie|Prestataires,true,false,not_mapped_or_filtered
da52a8c9,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
db67a035,Galerie|Horaires|Prestataires|Tarifs,false,false,missing_from_main_source
db789d9c,Berta 2.0 - Berta 2.0 (3).csv|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
dcbd4ecf,Prestataires,false,false,missing_from_main_source
dcdc2945,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
dd4fb432,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Horaires|Prestataires|Tarifs,true,true,in_clean_bundle
de094305,Berta 2.0 - Berta 2.0 (3).csv|CRM|Galerie|Prestataires,true,true,in_clean_bundle
de35a8f4,Prestataires,false,false,missing_from_main_source
