import_batch_id,staging_object_key,kind_code,unit_code,amount,currency,conditions,source,source_sheet,raw_source_data,resolution_status,is_approved
old-data-berta2-all-20260501-01,recUOCYFvmBoqRPQ9,adulte,par_semaine,700.00,EUR,À partir de | Pour 14 personnes | semaine,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""76e761d1"",""Object_id"":""recUOCYFvmBoqRPQ9"",""Description"":""Pour 14 personnes"",""Tarif Montant"":""700"",""Tarif libellé"":""semaine"",""__unnamed_6"":"""",""Mini"":""À partir de"",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,recUOCYFvmBoqRPQ9,adulte,par_sejour,400.00,EUR,À partir de | Pour 14 personnes | week-end,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""0e602b50"",""Object_id"":""recUOCYFvmBoqRPQ9"",""Description"":""Pour 14 personnes"",""Tarif Montant"":""400"",""Tarif libellé"":""week-end"",""__unnamed_6"":"""",""Mini"":""À partir de"",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,recUOCYFvmBoqRPQ9,adulte,par_sejour,250.00,EUR,À partir de | Pour 6 personnes | week-end,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""a1cb58a4"",""Object_id"":""recUOCYFvmBoqRPQ9"",""Description"":""Pour 6 personnes"",""Tarif Montant"":""250"",""Tarif libellé"":""week-end"",""__unnamed_6"":"""",""Mini"":""À partir de"",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,recjVuOypOyayuqqy,adulte,par_personne,5.50,EUR,Visite libre | pers.,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""69fc18a1"",""Object_id"":""recjVuOypOyayuqqy"",""Description"":""Visite libre"",""Tarif Montant"":""5,5"",""Tarif libellé"":""pers."",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,recjVuOypOyayuqqy,adulte,par_personne,8.50,EUR,Visite guidée | pers.,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""7de76199"",""Object_id"":""recjVuOypOyayuqqy"",""Description"":""Visite guidée"",""Tarif Montant"":""8,5"",""Tarif libellé"":""pers."",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,46b2c40c,adulte,par_nuit,250.00,EUR,À partir de | Pour 6 personnes | nuit,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""49a44e64"",""Object_id"":""46b2c40c"",""Description"":""Pour 6 personnes"",""Tarif Montant"":""250"",""Tarif libellé"":""nuit"",""__unnamed_6"":"""",""Mini"":""À partir de"",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,recjVuOypOyayuqqy,adulte,,4.50,EUR,enfant,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""ccdbe4e3"",""Object_id"":""recjVuOypOyayuqqy"",""Description"":"""",""Tarif Montant"":""4,5"",""Tarif libellé"":""enfant"",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,883cb1c2,adulte,,12.00,EUR,repas,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""665d1edb"",""Object_id"":""883cb1c2"",""Description"":"""",""Tarif Montant"":""12"",""Tarif libellé"":""repas"",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,recyyAOrP5ABYe0Qk,adulte,,20.00,EUR,Repas,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""38b6819a"",""Object_id"":""recyyAOrP5ABYe0Qk"",""Description"":""Repas"",""Tarif Montant"":""20"",""Tarif libellé"":"""",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,d5c7c61d,adulte,par_personne,55.00,EUR,pers.,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""56a7a6dd"",""Object_id"":""d5c7c61d"",""Description"":"""",""Tarif Montant"":""55"",""Tarif libellé"":""pers."",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,5c37ae83,adulte,par_nuit,60.00,EUR,nuit,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""4a66e29f"",""Object_id"":""5c37ae83"",""Description"":"""",""Tarif Montant"":""60"",""Tarif libellé"":""nuit"",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
old-data-berta2-all-20260501-01,d9f1c7dd,adulte,,110.00,EUR,chambre double,import_berta2_tarifs,Tarifs,"{""Id_Tarifs"":""d667e633"",""Object_id"":""d9f1c7dd"",""Description"":"""",""Tarif Montant"":""110"",""Tarif libellé"":""chambre double"",""__unnamed_6"":"""",""Mini"":"""",""source_system"":""berta_v2_csv_export""}",pending,true
