Id_Tarifs,Object_id,Description,Tarif Montant,Tarif libellé,,Mini
f3b67adc,e46e5463,,75,chambre double,,
c47a7447,76821c69,à partir de 7 nuits,30,bungalow/nuit,,À partir de
d193ae8f,f9dfc45a,à partir de 7 nuits,40,bungalow/nuit,,À partir de
,,,,,,
e209dadb,89572a7e,A partir de 3 nuits minimum,400,bungalow/semaine,,À partir de
1e70905f,89572a7e,à partir de 2 nuits,350,bungalow/week-end,,À partir de
31b3e822,recasu4xsNx1F8mkD,,5,produit,,
b4092fd0,221b69ff,/nuit pour 2 personnes,45,bungalow,,À partir de
d51361ef,71f48e35,,4,produit,,À partir de
ba19cc15,533cff3f,à partir de 2 nuits,70,pers.,,
6837b2d6,2b861bd2,à partir de 2 nuits,250,bungalow/nuit,,À partir de
82545dcd,recQd1WP7LlNdLABE,4 personnes,90,nuit,,
1e800a28,recQd1WP7LlNdLABE,/semaine pour 2 personnes,280,semaine,,
456d77fc,recQd1WP7LlNdLABE,/nuit pour 2 personnes,60,nuit,,À partir de
d4bc4b05,recQd1WP7LlNdLABE,4 personnes,380,bungalow/nuit,,
cdc1a223,3e9ccb68,à partir de 3 nuits pour 4 personnes,86,bungalow/nuit,,À partir de
2f2a5ea3,3e9ccb68,/semaine pour 2 personnes,382,bungalow/semaine,,À partir de
b42bd12a,3e9ccb68,A partir de 3 nuits minimum,70,chambre double/nuit,,À partir de
3969f9cf,e46e5463,4 personnes,100,chambre familiale avec petit-déjeuner,,À partir de
,,,,,,
8cfd3b9e,recQnhaVWed2cOYUi,,75,,,
"40dce782,e50537ff,à emporter,""7,8"",repas,,À partir de"
13f2e4d7,96b0af71,par nuit,99,chambre double avec petit déjeuner,,
53bb409a,96b0af71,Apéritif/Entrée/plat/dessert,35,pers.,,
77a9eda7,db67a035,,8,,,À partir de
d481693b,recahr7MiYZML3KgU,,48,chambre double/nuit,,À partir de
"b212a05c,recahr7MiYZML3KgU,par nuit,""69,5"",chambre familiale,,À partir de"
29d10e35,rec9U1L9JFSF6w2UT,,300,semaine,,À partir de
62a0c6af,rec9U1L9JFSF6w2UT,,150,week-end,,À partir de
7790ab53,recHUZ07cENhdZKpX,,5,produit,,
fa7aa562,recsiobm7nPsxCU8B,/nuit pour 2 personnes,89,chambre double avec petit déjeuner/semaine/nuit,,À partir de
a0ec8459,recsiobm7nPsxCU8B,/nuit pour 2 personnes,99,chambre double avec petit déjeuner/week-end/nuit,,À partir de
ad2294dd,recEBk4LA7NmOo6cL,/nuit pour 2 personnes,119,chambre double avec petit déjeuner/week-end/nuit,,À partir de
6edf2d69,recEBk4LA7NmOo6cL,/nuit pour 2 personnes,109,chambre double avec petit déjeuner/semaine/nuit,,À partir de
0fe543df,recXQr75TtnS6XXik,/nuit pour 4 personnes,145,bungalow/semaine/nuit,,À partir de
42293ca8,recXQr75TtnS6XXik,/nuit pour 2 personnes,125,chambre double/week-end/nuit,,À partir de
07a1cf68,recXQr75TtnS6XXik,/nuit pour 2 personnes,115,chambre double/semaine/nuit,,À partir de
f371c68f,recXQr75TtnS6XXik,/nuit pour 4 personnes,155,bungalow/week-end/nuit,,À partir de
b9c52282,373a8c27,,8,,,À partir de
3dfdd1fd,recCpFmi9ztG9pA4Q,,12,,,À partir de
80cddb43,recTR4EZHOjvNt0tr,à partir de 3 nuits pour 3 personnes,75,nuit/chambre familiale avec petit-déjeuner,,À partir de
3412419f,recTR4EZHOjvNt0tr,3 personnes,80,nuit/chambre familiale avec petit-déjeuner,,À partir de
