feed,path,scope,collection,name,edm_type,declared,observed,observed_count,non_empty_count,empty_count,coverage_pct,present_in_feed_count,reuse_class,coverage_status,mapping_status,evidence
decouverte,ClassificationSousCategoriePatNaturels.ThesPicto,relation,ClassificationSousCategoriePatNaturels,ThesPicto,Edm.String,True,True,1,0,1,0.0,1,feed_specific,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategorieTerroirs.ID,relation,ClassificationSousCategorieTerroirs,ID,Edm.Int64,True,True,29,29,0,100.0,1,feed_specific,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategorieTerroirs.Ordre,relation,ClassificationSousCategorieTerroirs,Ordre,Edm.Int64,True,True,29,29,0,100.0,1,feed_specific,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategorieTerroirs.SyndicObjectId,relation,ClassificationSousCategorieTerroirs,SyndicObjectId,Edm.String,True,True,29,29,0,100.0,1,feed_specific,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategorieTerroirs.ThesCode,relation,ClassificationSousCategorieTerroirs,ThesCode,Edm.String,True,True,29,29,0,100.0,1,feed_specific,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategorieTerroirs.ThesID,relation,ClassificationSousCategorieTerroirs,ThesID,Edm.Guid,True,True,29,29,0,100.0,1,feed_specific,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategorieTerroirs.ThesLibelle,relation,ClassificationSousCategorieTerroirs,ThesLibelle,Edm.String,True,True,29,29,0,100.0,1,feed_specific,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategorieTerroirs.ThesOrdre,relation,ClassificationSousCategorieTerroirs,ThesOrdre,Edm.Int64,True,True,29,29,0,100.0,1,feed_specific,observed_source,unclassified,source-schemas/decouverte.json
decouverte,ClassificationSousCategorieTerroirs.ThesPicto,relation,ClassificationSousCategorieTerroirs,ThesPicto,Edm.String,True,True,29,0,29,0.0,1,feed_specific,observed_source,unclassified,source-schemas/decouverte.json
decouverte,Descriptifaccess.Descriptifduplandacces,relation,Descriptifaccess,Descriptifduplandacces,Edm.String,True,True,49,21,28,42.9,5,shared,observed_source,unclassified,source-schemas/decouverte.json
decouverte,Descriptifaccess.ID,relation,Descriptifaccess,ID,Edm.Int64,True,True,49,49,0,100.0,5,shared,observed_source,unclassified,source-schemas/decouverte.json
decouverte,Descriptifaccess.Ordre,relation,Descriptifaccess,Ordre,Edm.Int64,True,True,49,49,0,100.0,5,shared,observed_source,unclassified,source-schemas/decouverte.json
decouverte,Descriptifaccess.SyndicObjectId,relation,Descriptifaccess,SyndicObjectId,Edm.String,True,True,49,49,0,100.0,5,shared,observed_source,unclassified,source-schemas/decouverte.json
decouverte,Descriptifss.Accroche,relation,Descriptifss,Accroche,Edm.String,True,True,3,2,1,66.7,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,Descriptifss.Descriptioncommerciale,relation,Descriptifss,Descriptioncommerciale,Edm.String,True,True,3,2,1,66.7,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,Descriptifss.ID,relation,Descriptifss,ID,Edm.Int64,True,True,3,3,0,100.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,Descriptifss.Ordre,relation,Descriptifss,Ordre,Edm.Int64,True,True,3,3,0,100.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,Descriptifss.SyndicObjectId,relation,Descriptifss,SyndicObjectId,Edm.String,True,True,3,3,0,100.0,6,all_feeds,observed_source,unclassified,source-schemas/decouverte.json
decouverte,Fichiers.DocumentFichier.Credit,relation,Fichiers,DocumentFichier.Credit,Edm.String,True,False,0,0,0,0,6,all_feeds,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,Fichiers.DocumentFichier.MediaID,relation,Fichiers,DocumentFichier.MediaID,Edm.Guid,True,False,0,0,0,0,6,all_feeds,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,Fichiers.DocumentFichier.Titre,relation,Fichiers,DocumentFichier.Titre,Edm.String,True,False,0,0,0,0,6,all_feeds,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,Fichiers.DocumentFichier.Url,relation,Fichiers,DocumentFichier.Url,Edm.String,True,False,0,0,0,0,6,all_feeds,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,Fichiers.ID,relation,Fichiers,ID,Edm.Int64,True,False,0,0,0,0,6,all_feeds,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,Fichiers.Ordre,relation,Fichiers,Ordre,Edm.Int64,True,False,0,0,0,0,6,all_feeds,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,Fichiers.SyndicObjectId,relation,Fichiers,SyndicObjectId,Edm.String,True,False,0,0,0,0,6,all_feeds,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,Handicaps.ID,relation,Handicaps,ID,Edm.Int64,True,False,0,0,0,0,6,all_feeds,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,Handicaps.Ordre,relation,Handicaps,Ordre,Edm.Int64,True,False,0,0,0,0,6,all_feeds,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,Handicaps.SyndicObjectId,relation,Handicaps,SyndicObjectId,Edm.String,True,False,0,0,0,0,6,all_feeds,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,Handicaps.ThesCode,relation,Handicaps,ThesCode,Edm.String,True,False,0,0,0,0,6,all_feeds,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,Handicaps.ThesID,relation,Handicaps,ThesID,Edm.Guid,True,False,0,0,0,0,6,all_feeds,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,Handicaps.ThesLibelle,relation,Handicaps,ThesLibelle,Edm.String,True,False,0,0,0,0,6,all_feeds,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,Handicaps.ThesOrdre,relation,Handicaps,ThesOrdre,Edm.Int32,True,False,0,0,0,0,6,all_feeds,declared_unobserved,unclassified,source-schemas/decouverte.json
decouverte,Handicaps.ThesPicto,relation,Handicaps,ThesPicto,Edm.String,True,False,0,0,0,0,6,all_feeds,declared_unobserved,unclassified,source-schemas/decouverte.json
