schema,table_name,index_name,is_unique,is_primary,is_partial,method,index_def
public,object,idx_object_name_normalized_trgm,f,f,f,gin,CREATE INDEX idx_object_name_normalized_trgm ON public.object USING gin (name_normalized gin_trgm_ops)
public,object,idx_object_name_search_vector,f,f,f,gin,CREATE INDEX idx_object_name_search_vector ON public.object USING gin (name_search_vector)
public,object,idx_object_published_name_search,f,f,t,gin,CREATE INDEX idx_object_published_name_search ON public.object USING gin (name_search_vector) WHERE (status = 'published'::object_status)
public,object,idx_object_published_type_updated,f,f,t,btree,"CREATE INDEX idx_object_published_type_updated ON public.object USING btree (object_type, updated_at, id) WHERE (status = 'published'::object_status)"
public,object,idx_object_published_updated_at_id,f,f,t,btree,"CREATE INDEX idx_object_published_updated_at_id ON public.object USING btree (updated_at, id) WHERE (status = 'published'::object_status)"
public,object,idx_object_published_updated_at_source_id,f,f,t,btree,"CREATE INDEX idx_object_published_updated_at_source_id ON public.object USING btree (updated_at_source, id) WHERE (status = 'published'::object_status)"
public,object,idx_object_status_archived,f,f,t,btree,"CREATE INDEX idx_object_status_archived ON public.object USING btree (id, name, object_type) WHERE (status = 'archived'::object_status)"
public,object,idx_object_status_draft,f,f,t,btree,"CREATE INDEX idx_object_status_draft ON public.object USING btree (id, name, object_type) WHERE (status = 'draft'::object_status)"
public,object,idx_object_status_published,f,f,t,btree,"CREATE INDEX idx_object_status_published ON public.object USING btree (id, name, object_type) WHERE (status = 'published'::object_status)"
public,object,idx_object_type,f,f,f,btree,CREATE INDEX idx_object_type ON public.object USING btree (object_type)
public,object,idx_object_type_status,f,f,f,btree,"CREATE INDEX idx_object_type_status ON public.object USING btree (object_type, status)"
public,object,idx_object_updated_at,f,f,f,btree,CREATE INDEX idx_object_updated_at ON public.object USING btree (updated_at)
public,object,idx_object_updated_at_id,f,f,f,btree,"CREATE INDEX idx_object_updated_at_id ON public.object USING btree (updated_at, id)"
public,object,idx_object_updated_at_published,f,f,t,btree,CREATE INDEX idx_object_updated_at_published ON public.object USING btree (updated_at) WHERE (status = 'published'::object_status)
public,object,idx_object_updated_at_source,f,f,f,btree,CREATE INDEX idx_object_updated_at_source ON public.object USING btree (updated_at_source)
public,object,idx_object_updated_at_source_id,f,f,f,btree,"CREATE INDEX idx_object_updated_at_source_id ON public.object USING btree (updated_at_source, id)"
public,object,object_pkey,t,t,f,btree,CREATE UNIQUE INDEX object_pkey ON public.object USING btree (id)
public,object_act,object_act_pkey,t,t,f,btree,CREATE UNIQUE INDEX object_act_pkey ON public.object_act USING btree (object_id)
public,object_amenity,idx_object_amenity_amenity_id,f,f,f,btree,CREATE INDEX idx_object_amenity_amenity_id ON public.object_amenity USING btree (amenity_id)
public,object_amenity,idx_object_amenity_object_id,f,f,f,btree,CREATE INDEX idx_object_amenity_object_id ON public.object_amenity USING btree (object_id)
public,object_amenity,object_amenity_pkey,t,t,f,btree,"CREATE UNIQUE INDEX object_amenity_pkey ON public.object_amenity USING btree (object_id, amenity_id)"
public,object_capacity,object_capacity_object_id_metric_id_key,t,f,f,btree,"CREATE UNIQUE INDEX object_capacity_object_id_metric_id_key ON public.object_capacity USING btree (object_id, metric_id)"
public,object_capacity,object_capacity_pkey,t,t,f,btree,CREATE UNIQUE INDEX object_capacity_pkey ON public.object_capacity USING btree (id)
public,object_classification,idx_classification_active,f,f,t,btree,"CREATE INDEX idx_classification_active ON public.object_classification USING btree (object_id, value_id, scheme_id) WHERE (status = 'granted'::text)"
